WORD	QL	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
被關	2	11	attraction	22.7535855977431	38.3719036741582	6.77473290509582	9.52786820320038	0.00366551751189694	0.153638510506285	0.0296872320275185	1.26215038487688
堆砌	1	7	attraction	10.9284599950472	24.4497296904431	6.53173245127444	9.22830792134147	0.00183218503884684	0.124791974657619	0.014292363665173	0.985237158795167
潤滑	1	7	attraction	10.9284599950472	24.4497296904431	6.53173245127444	9.22830792134147	0.00183218503884684	0.124791974657619	0.014292363665173	0.985237158795167
拉提	2	15	attraction	21.6024865449253	33.5412510722665	6.46457644687214	9.14084508009113	0.00366398759962593	0.117439415166049	0.0282691623371788	0.916330409648186
飛揚	1	8	attraction	10.6782209437042	23.046614112385	6.39820067617079	9.05838291989916	0.00183180256077909	0.110903085689181	0.0139811253454389	0.855709833578693
嘗	7	63	attraction	73.2688259547547	57.8344640391794	6.29148729062948	8.90637982645411	0.0128199405789794	0.0997942641770338	0.0960214766362968	0.754105827852719
撿拾	1	9	attraction	10.4559552952556	21.8593727223396	6.28041725803508	8.90637982645411	0.00183142008271134	0.0997919744985209	0.0137027712607727	0.754105827852719
目錄	1	9	attraction	10.4559552952556	21.8593727223396	6.28041725803508	8.90637982645411	0.00183142008271134	0.0997919744985209	0.0137027712607727	0.754105827852719
紅了	1	9	attraction	10.4559552952556	21.8593727223396	6.28041725803508	8.90637982645411	0.00183142008271134	0.0997919744985209	0.0137027712607727	0.754105827852719
關	6	56	attraction	62.3774174815655	52.669945237885	6.25326531311954	8.85907411167575	0.0109877555401325	0.0965680759473971	0.0817697895342685	0.724970420654007
嚼	4	39	attraction	41.2386526353924	42.1594978191582	6.20589304394668	8.80204316663937	0.0073245328966421	0.0928163749012607	0.0540760653464957	0.691308396251403
硬	8	81	attraction	81.9620844078028	58.6044548588792	6.17555783583106	8.75257449037507	0.0146479183590809	0.0896822855430047	0.107505557676526	0.663352751529031
暖和	1	10	attraction	10.2560367160846	20.8377414032825	6.17505635989782	8.76887630270417	0.00183103760464359	0.0907010653280628	0.013451021891354	0.6724407325013
